"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Estimate","2.69","899","12","0","132","6","43,162","631","775","7,494","9,560","3,917","12,595","8,190","24,032","22,678"
"    Percent","(X)","899","(X)","(X)","(X)","(X)","43,162","1.5%","1.8%","17.4%","22.1%","9.1%","29.2%","19.0%","98.0%","92.5%"
"Lakeville city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","3.02","635","10","0","77","23","43,020","663","329","6,243","8,201","5,518","15,705","6,361","21,830","21,050"
"    Percent","(X)","635","(X)","(X)","(X)","(X)","43,020","1.5%","0.8%","14.5%","19.1%","12.8%","36.5%","14.8%","98.2%","94.7%"
"Maple Grove city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.54","N","N","N","N","N","50,710","261","550","7,595","8,872","5,638","17,412","10,382","28,215","27,744"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,710","0.5%","1.1%","15.0%","17.5%","11.1%","34.3%","20.5%","98.7%","97.1%"
"Minneapolis city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.26","6,186","16","9","56","53","288,610","13,698","11,578","42,217","48,281","22,277","90,937","59,622","173,566","158,928"
"    Percent","(X)","6,186","(X)","(X)","(X)","(X)","288,610","4.7%","4.0%","14.6%","16.7%","7.7%","31.5%","20.7%","95.5%","87.4%"
"Plymouth city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.60","1,467","23","0","113","81","55,238","464","353","5,771","9,695","4,691","20,910","13,354","29,349","28,532"
"    Percent","(X)","1,467","(X)","(X)","(X)","(X)","55,238","0.8%","0.6%","10.4%","17.6%","8.5%","37.9%","24.2%","96.6%","93.9%"
"Rochester city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.31","1,137","17","0","47","41","81,451","3,316","1,319","15,737","12,335","8,087","20,166","20,491","48,228","44,947"
"    Percent","(X)","1,137","(X)","(X)","(X)","(X)","81,451","4.1%","1.6%","19.3%","15.1%","9.9%","24.8%","25.2%","95.5%","89.0%"
"St. Cloud city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.28","N","N","N","N","N","42,752","1,935","3,065","11,060","9,030","3,688","9,747","4,227","25,413","23,333"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","42,752","4.5%","7.2%","25.9%","21.1%","8.6%","22.8%","9.9%","93.0%","85.4%"
"St. Paul city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.71","4,587","27","0","89","31","198,766","13,170","9,507","42,368","30,311","16,705","51,731","34,974","103,437","98,612"
"    Percent","(X)","4,587","(X)","(X)","(X)","(X)","198,766","6.6%","4.8%","21.3%","15.2%","8.4%","26.0%","17.6%","93.4%","89.0%"
"Woodbury city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.76","899","29","0","85","44","47,077","12","645","6,756","6,944","3,325","18,456","10,939","25,330","24,627"
"    Percent","(X)","899","(X)","(X)","(X)","(X)","47,077","0.0%","1.4%","14.4%","14.8%","7.1%","39.2%","23.2%","96.5%","93.8%"
"Gulfport city, Mississippi","","","","","","","","","","","","","","","",""
"    Estimate","2.74","N","N","N","N","N","46,538","1,476","3,659","15,946","10,588","5,213","6,639","3,017","22,952","19,904"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","46,538","3.2%","7.9%","34.3%","22.8%","11.2%","14.3%","6.5%","89.8%","77.9%"
"Jackson city, Mississippi","","","","","","","","","","","","","","","",""
"    Estimate","2.49","1,711","27","13","70","10","101,868","3,991","9,542","28,214","26,396","6,182","15,869","11,674","54,495","53,039"
"    Percent","(X)","1,711","(X)","(X)","(X)","(X)","101,868","3.9%","9.4%","27.7%","25.9%","6.1%","15.6%","11.5%","88.5%","86.1%"
"Columbia city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","2.44","2,364","29","4","94","31","69,232","1,524","2,355","10,625","13,361","4,314","18,858","18,195","44,661","40,176"
"    Percent","(X)","2,364","(X)","(X)","(X)","(X)","69,232","2.2%","3.4%","15.3%","19.3%","6.2%","27.2%","26.3%","95.3%","85.8%"
"Independence city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","2.44","2,012","43","0","154","6","78,333","1,874","4,881","30,165","19,946","6,843","9,281","5,343","43,236","40,299"
"    Percent","(X)","2,012","(X)","(X)","(X)","(X)","78,333","2.4%","6.2%","38.5%","25.5%","8.7%","11.8%","6.8%","91.4%","85.1%"
"Kansas City city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","2.32","5,428","26","5","65","27","340,306","10,096","19,685","89,858","72,507","24,820","79,700","43,640","195,164","178,007"
"    Percent","(X)","5,428","(X)","(X)","(X)","(X)","340,306","3.0%","5.8%","26.4%","21.3%","7.3%","23.4%","12.8%","93.0%","84.9%"
"Lee's Summit city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","2.70","1,342","8","0","133","28","65,465","1,340","611","11,972","13,052","5,575","19,717","13,198","35,987","34,103"
"    Percent","(X)","1,342","(X)","(X)","(X)","(X)","65,465","2.0%","0.9%","18.3%","19.9%","8.5%","30.1%","20.2%","98.7%","93.5%"
"O'Fallon city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","2.74","1,141","15","0","124","32","59,925","485","2,518","13,085","14,384","5,394","15,079","8,980","31,288","29,458"
"    Percent","(X)","1,141","(X)","(X)","(X)","(X)","59,925","0.8%","4.2%","21.8%","24.0%","9.0%","25.2%","15.0%","96.9%","91.3%"
"St. Charles city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","2.18","1,899","81","0","159","82","49,776","1,349","2,464","11,651","10,189","4,138","12,854","7,131","28,352","26,409"
"    Percent","(X)","1,899","(X)","(X)","(X)","(X)","49,776","2.7%","5.0%","23.4%","20.5%","8.3%","25.8%","14.3%","95.0%","88.5%"
"St. Joseph city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","2.41","761","43","0","99","3","52,043","2,415","2,952","22,335","11,320","3,212","7,361","2,448","25,924","22,836"
"    Percent","(X)","761","(X)","(X)","(X)","(X)","52,043","4.6%","5.7%","42.9%","21.8%","6.2%","14.1%","4.7%","88.2%","77.7%"
"St. Louis city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","1.98","3,441","30","0","65","23","218,004","7,437","15,404","53,754","45,305","12,051","44,504","39,549","131,114","120,571"
"    Percent","(X)","3,441","(X)","(X)","(X)","(X)","218,004","3.4%","7.1%","24.7%","20.8%","5.5%","20.4%","18.1%","89.3%","82.1%"
"Springfield city, Missouri","","","","","","","","","","","","","","","",""
"    Estimate","1.94","2,831","43","0","82","56","105,719","3,486","6,539","32,675","27,847","7,512","17,057","10,603","67,248","59,375"
"    Percent","(X)","2,831","(X)","(X)","(X)","(X)","105,719","3.3%","6.2%","30.9%","26.3%","7.1%","16.1%","10.0%","83.3%","73.6%"
"Billings city, Montana","","","","","","","","","","","","","","","",""
"    Estimate","2.17","1,369","10","0","90","33","75,259","1,403","2,989","22,032","17,261","5,251","17,751","8,572","46,178","42,133"
"    Percent","(X)","1,369","(X)","(X)","(X)","(X)","75,259","1.9%","4.0%","29.3%","22.9%","7.0%","23.6%","11.4%","94.3%","86.0%"
"Missoula city, Montana","","","","","","","","","","","","","","","",""
"    Estimate","2.17","N","N","N","N","N","50,221","712","1,161","11,250","8,996","3,590","16,379","8,133","32,119","29,560"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,221","1.4%","2.3%","22.4%","17.9%","7.1%","32.6%","16.2%","96.0%","88.4%"
"Lincoln city, Nebraska","","","","","","","","","","","","","","","",""
"    Estimate","2.34","3,483","20","8","71","32","178,745","5,501","7,661","35,783","35,223","22,354","45,687","26,536","112,928","106,021"
"    Percent","(X)","3,483","(X)","(X)","(X)","(X)","178,745","3.1%","4.3%","20.0%","19.7%","12.5%","25.6%","14.8%","95.9%","90.1%"
"Omaha city, Nebraska","","","","","","","","","","","","","","","",""
"    Estimate","2.47","7,147","31","26","100","29","311,417","14,200","15,185","70,609","66,358","21,577","78,550","44,938","176,092","167,505"
"    Percent","(X)","7,147","(X)","(X)","(X)","(X)","311,417","4.6%","4.9%","22.7%","21.3%","6.9%","25.2%","14.4%","93.3%","88.7%"
"Enterprise CDP, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","2.92","1,761","30","0","58","17","132,424","2,886","4,981","30,363","37,047","13,973","27,544","15,630","64,866","62,042"
"    Percent","(X)","1,761","(X)","(X)","(X)","(X)","132,424","2.2%","3.8%","22.9%","28.0%","10.6%","20.8%","11.8%","98.6%","94.3%"
"Henderson city, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","2.63","3,348","33","0","71","36","238,697","3,435","9,506","58,388","59,166","24,049","54,227","29,926","115,810","109,828"
"    Percent","(X)","3,348","(X)","(X)","(X)","(X)","238,697","1.4%","4.0%","24.5%","24.8%","10.1%","22.7%","12.5%","95.5%","90.6%"
"Las Vegas city, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","2.73","8,231","38","11","100","21","440,508","29,874","41,415","122,046","102,502","34,002","71,326","39,343","219,075","189,254"
"    Percent","(X)","8,231","(X)","(X)","(X)","(X)","440,508","6.8%","9.4%","27.7%","23.3%","7.7%","16.2%","8.9%","93.0%","80.3%"
"North Las Vegas city, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","3.31","4,451","59","31","136","23","157,303","13,073","16,025","52,175","36,589","12,631","18,941","7,869","71,849","66,114"
"    Percent","(X)","4,451","(X)","(X)","(X)","(X)","157,303","8.3%","10.2%","33.2%","23.3%","8.0%","12.0%","5.0%","95.0%","87.5%"
"Paradise CDP, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","2.50","2,762","24","0","84","20","169,773","8,268","15,175","50,462","40,417","13,944","26,743","14,764","89,000","77,834"
"    Percent","(X)","2,762","(X)","(X)","(X)","(X)","169,773","4.9%","8.9%","29.7%","23.8%","8.2%","15.8%","8.7%","94.5%","82.6%"
"Reno city, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","2.27","3,184","25","0","83","20","176,934","7,430","10,410","37,314","44,056","16,326","37,177","24,221","104,692","96,952"
"    Percent","(X)","3,184","(X)","(X)","(X)","(X)","176,934","4.2%","5.9%","21.1%","24.9%","9.2%","21.0%","13.7%","95.1%","88.0%"
"Sparks city, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","2.69","1,195","30","0","86","38","69,273","4,932","5,699","19,451","17,257","5,784","10,602","5,548","37,452","35,925"
"    Percent","(X)","1,195","(X)","(X)","(X)","(X)","69,273","7.1%","8.2%","28.1%","24.9%","8.3%","15.3%","8.0%","96.3%","92.4%"
"Spring Valley CDP, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","2.68","2,563","43","0","69","37","157,802","7,499","11,553","44,559","34,392","15,001","32,563","12,235","79,956","73,478"
"    Percent","(X)","2,563","(X)","(X)","(X)","(X)","157,802","4.8%","7.3%","28.2%","21.8%","9.5%","20.6%","7.8%","96.4%","88.6%"
"Sunrise Manor CDP, Nevada","","","","","","","","","","","","","","","",""
"    Estimate","3.08","2,261","32","7","96","10","122,749","14,997","18,967","38,912","28,701","8,225","8,490","4,457","56,238","49,703"
"    Percent","(X)","2,261","(X)","(X)","(X)","(X)","122,749","12.2%","15.5%","31.7%","23.4%","6.7%","6.9%","3.6%","89.8%","79.3%"
"Manchester city, New Hampshire","","","","","","","","","","","","","","","",""
"    Estimate","2.37","979","16","0","44","33","82,293","3,933","6,810","24,221","14,128","7,152","18,055","7,994","43,606","41,378"
"    Percent","(X)","979","(X)","(X)","(X)","(X)","82,293","4.8%","8.3%","29.4%","17.2%","8.7%","21.9%","9.7%","93.9%","89.1%"
"Nashua city, New Hampshire","","","","","","","","","","","","","","","",""
"    Estimate","2.34","945","7","0","73","29","64,062","1,897","3,360","17,064","12,863","5,327","14,393","9,158","35,494","34,673"
"    Percent","(X)","945","(X)","(X)","(X)","(X)","64,062","3.0%","5.2%","26.6%","20.1%","8.3%","22.5%","14.3%","94.7%","92.5%"
"Bayonne city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.49","N","N","N","N","N","46,365","2,497","1,367","13,936","6,949","3,406","12,181","6,029","23,804","22,700"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","46,365","5.4%","2.9%","30.1%","15.0%","7.3%","26.3%","13.0%","91.8%","87.5%"
"Camden city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.94","N","N","N","N","N","42,430","6,062","5,894","15,531","9,006","2,099","3,307","531","19,498","17,829"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","42,430","14.3%","13.9%","36.6%","21.2%","4.9%","7.8%","1.3%","81.1%","74.1%"
"Clifton city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.99","978","23","0","46","65","58,320","3,809","3,746","21,130","8,056","2,922","11,878","6,779","25,663","24,674"
"    Percent","(X)","978","(X)","(X)","(X)","(X)","58,320","6.5%","6.4%","36.2%","13.8%","5.0%","20.4%","11.6%","91.0%","87.5%"
"East Orange city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.27","N","N","N","N","N","44,662","2,615","3,193","15,095","9,514","2,100","8,847","3,298","25,391","22,600"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","44,662","5.9%","7.1%","33.8%","21.3%","4.7%","19.8%","7.4%","90.8%","80.8%"
"Elizabeth city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","3.16","1,890","42","42","83","48","80,534","15,177","5,999","33,092","12,717","3,601","6,552","3,396","33,734","31,382"
"    Percent","(X)","1,890","(X)","(X)","(X)","(X)","80,534","18.8%","7.4%","41.1%","15.8%","4.5%","8.1%","4.2%","83.9%","78.0%"
"Jersey City city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.38","3,670","29","11","55","49","193,444","12,343","9,497","38,954","22,448","8,093","58,165","43,944","103,619","98,809"
"    Percent","(X)","3,670","(X)","(X)","(X)","(X)","193,444","6.4%","4.9%","20.1%","11.6%","4.2%","30.1%","22.7%","95.1%","90.7%"
"Newark city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.62","4,311","43","0","98","36","183,362","23,150","21,353","71,692","32,181","9,066","18,760","7,160","91,181","72,713"
"    Percent","(X)","4,311","(X)","(X)","(X)","(X)","183,362","12.6%","11.6%","39.1%","17.6%","4.9%","10.2%","3.9%","89.3%","71.2%"
"Passaic city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","3.48","N","N","N","N","N","40,113","8,600","4,582","15,224","3,968","1,709","4,121","1,909","17,482","17,489"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","40,113","21.4%","11.4%","38.0%","9.9%","4.3%","10.3%","4.8%","87.6%","87.6%"
"Paterson city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","3.32","920","20","0","39","17","90,893","11,769","6,716","43,403","14,069","3,728","9,566","1,642","39,266","38,011"
"    Percent","(X)","920","(X)","(X)","(X)","(X)","90,893","12.9%","7.4%","47.8%","15.5%","4.1%","10.5%","1.8%","91.0%","88.0%"
"Toms River CDP, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.60","N","N","N","N","N","65,184","1,230","2,658","23,612","11,985","5,000","14,440","6,259","32,596","30,834"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","65,184","1.9%","4.1%","36.2%","18.4%","7.7%","22.2%","9.6%","94.0%","88.9%"
"Trenton city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.78","N","N","N","N","N","54,038","5,652","9,776","18,480","9,410","3,067","4,789","2,864","25,210","20,275"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","54,038","10.5%","18.1%","34.2%","17.4%","5.7%","8.9%","5.3%","89.3%","71.8%"
"Union City city, New Jersey","","","","","","","","","","","","","","","",""
"    Estimate","2.64","952","35","22","120","0","46,104","7,641","3,224","14,178","5,873","2,777","7,864","4,547","24,031","21,737"
"    Percent","(X)","952","(X)","(X)","(X)","(X)","46,104","16.6%","7.0%","30.8%","12.7%","6.0%","17.1%","9.9%","93.9%","85.0%"
"Albuquerque city, New Mexico","","","","","","","","","","","","","","","",""
"    Estimate","2.44","10,587","61","0","122","56","387,982","14,422","26,778","89,396","81,856","35,046","80,519","59,965","211,985","191,482"
"    Percent","(X)","10,587","(X)","(X)","(X)","(X)","387,982","3.7%","6.9%","23.0%","21.1%","9.0%","20.8%","15.5%","93.3%","84.3%"
"Las Cruces city, New Mexico","","","","","","","","","","","","","","","",""
"    Estimate","2.52","N","N","N","N","N","63,605","5,880","3,630","12,573","13,610","6,572","11,757","9,583","36,945","32,569"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","63,605","9.2%","5.7%","19.8%","21.4%","10.3%","18.5%","15.1%","91.9%","81.0%"
"Rio Rancho city, New Mexico","","","","","","","","","","","","","","","",""
"    Estimate","2.76","1,561","44","25","103","44","67,089","1,002","2,314","16,686","17,042","8,252","13,981","7,812","34,939","32,431"
"    Percent","(X)","1,561","(X)","(X)","(X)","(X)","67,089","1.5%","3.4%","24.9%","25.4%","12.3%","20.8%","11.6%","97.7%","90.7%"
"Santa Fe city, New Mexico","","","","","","","","","","","","","","","",""
"    Estimate","2.37","N","N","N","N","N","61,653","4,929","3,369","11,692","13,076","4,007","12,093","12,487","32,286","28,835"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","61,653","8.0%","5.5%","19.0%","21.2%","6.5%","19.6%","20.3%","92.0%","82.1%"
"Albany city, New York","","","","","","","","","","","","","","","",""
"    Estimate","2.04","1,665","29","0","92","0","58,381","3,254","5,139","10,968","7,088","6,301","14,076","11,555","39,002","36,150"
"    Percent","(X)","1,665","(X)","(X)","(X)","(X)","58,381","5.6%","8.8%","18.8%","12.1%","10.8%","24.1%","19.8%","92.0%","85.2%"
"Brentwood CDP, New York","","","","","","","","","","","","","","","",""
"    Estimate","4.41","307","25","0","40","0","41,888","6,175","5,124","15,132","5,973","3,493","3,483","2,508","13,158","12,562"
"    Percent","(X)","307","(X)","(X)","(X)","(X)","41,888","14.7%","12.2%","36.1%","14.3%","8.3%","8.3%","6.0%","95.8%","91.4%"
